嗯你知道就是,persona,train,4
对然后嗯我是来自中国北方的一个小城市,persona,train,7
嗯,persona,train,12
嗯所以啊,persona,train,17
南方其实也能吃海鲜啊其实我,persona,train,20
小时候当然吃的不多但还是吃得到,persona,train,21
吃到那种大螃蟹又超超级好吃,persona,train,22
我有时候也会比较喜欢和朋友一起打游戏一起这种之类的事情,persona,train,26
然后哦忘了告诉你哦我刚已经告诉你了我是来自南南方,persona,train,27
呃花好长的时间大概,persona,train,34
连续会看三四个小时,persona,train,35
嗯,persona,train,36
去看完了好几本金庸的小说,persona,train,42
嗯,persona,train,43
关于其他的事情嗯,persona,train,44
哦对,persona,train,45
嗯你可以你你可能有相相似的爱好,persona,train,46
呃当然我本来刚刚想问你喜欢,persona,train,48
但是,persona,train,50
对,persona,train,54
然后对于我来说嘛女孩子,persona,train,55
爱情类小说,persona,train,60
一些玄幻类的,persona,train,62
嗯所以我们还是挺不一样的,persona,train,65
哦我可以问一下你,persona,train,66
具体哪一些类型嘛可能我也会喜欢像,persona,train,67
像一些神话类的有一些小说也蛮有意思,persona,train,68
嗯说实话我读的最神话的可能就是北欧神话,persona,train,69
对但是这个是我很很很很久之后才读的但是,persona,train,70
啊是,persona,train,73
刘慈欣的作品,persona,train,74
对我非常非常的喜欢他关于一些比如说,persona,train,75
他真的太我就觉得我觉得他真的太有想象力了,persona,train,78
哦我也看过三体小说的一个情节,persona,train,80
但我现在已经忘记掉就是我知道它是一本,persona,train,81
嗯我当时没有看他的原因好像是,persona,train,84
当时有一段时间还挺忙的,persona,train,85
哦对然后关于小说的话,persona,train,86
嗯可能我就会,persona,train,92
就是花更多的时间就是越来越去看这些书,persona,train,93
这就比方说我已经,persona,train,94
看了这本书的第一个章节,persona,train,95
嗯对我有的时候也是这样所以,persona,train,99
因为我特别害怕,persona,train,101
啊,persona,train,103
这个真的是一件我也我也有相同的感受的事情,persona,train,104
嗯,persona,train,105
呃对我我室友我本科的室友,persona,train,106
呃所以他很多时候就是他可能是因为想嗯因为快要,persona,train,108
但是好像男生对它的嗯喜欢程度就不会那么的高,persona,train,120
是啥来着我都忘了,persona,train,123
好啊嗯你喜欢看电影吗,persona,train,124
嗯像像那些科科幻片其实我看的大多数电影中科幻片算比较多,persona,train,126
嗯我记得我记得我开始看的第一部科幻片是第五元素,persona,train,128
就是什么反正就是关于那种跟外星有关的一些东西,persona,train,129
嗯对我之前也很喜欢看这些电影,persona,train,133
但是我不知道为什么,persona,train,134
没有办法所以嗯我我现在经常看的电影都是一些,persona,train,137
文艺片,persona,train,138
但是不是,persona,train,139
嗯是关于一些就是,persona,train,141
呃相对来说把,persona,train,142
嗯有波折的剧情有那种,persona,train,149
就是他们重在剧情并不在于效果并不在于特效,persona,train,150
呃我记得有一部叫,persona,train,151
怦然心动,persona,train,152
我还记得是一个男生,persona,train,157
就是他他是,persona,train,158
一个男生和一个女生轮流回忆,persona,train,159
也不能不能回忆他们去思考,persona,train,160
同一个经历之后他们的自己的感受,persona,train,161
然后你会发现他们的想法是多么的,persona,train,162
不一样,persona,train,163
啊你就会知道哦原来男生女生之间是有这样这样的想法,persona,train,164
啊我知道你永远控制不住你自己但是没有关系,persona,train,172
啊童真,persona,train,178
对我知道女主真的她的性格,persona,train,181
就是那个就是那个一直喜欢一直喜欢男主然后一但一直在跟男主,persona,train,183
我就会觉得女主要比那个女生好多了,persona,train,185
嗯,education,train,201
但是有的时候我觉得就是,education,train,203
就是减少作业量你觉得,education,train,206
如果如果是减少作业量因为很多时候,education,train,207
比如说,education,train,208
像我以前经历过就比如说一个晚上会要求你同一个科目写两张卷子,education,train,209
嗯,education,train,210
然后,education,train,211
你觉得这样会不会减少作业量,education,train,212
是对的,education,train,213
我觉得减少作业量是可以的,education,train,214
就是嗯,education,train,215
但是我觉得其实作业这种东西是比较难去,education,train,216
控制它的量的,education,train,217
或者说如果说,education,train,218
呃作为一个比较,education,train,219
确定说他每一个,education,train,224
呃就是那些小学初中中高中的老师他们并没有这样去操作,education,train,227
就是他们都是很随意的在布置作业,education,train,228
比如说就是今天他可能就跟你说啊那你,education,train,229
你这几张卷子你要把它做完,education,train,230
嗯或者你要做很多很多什么其他的作业,education,train,231
就等于说他其实没有在宏观的去控制它所以就会导致这个作业给大家的压力特别重,education,train,232
哦所以这是一个,education,train,233
嗯对,education,train,236
我觉得这个问题,education,train,237
如果如果说您只想要一个,education,train,247
进企业就是你没有什么,education,train,250
因为,education,train,252
对,education,train,255
对我觉得实际上你在国内可能会更,education,train,256
就是国内的环境,education,train,258
嗯学术这一块儿实际上对于,education,train,260
反而会更好,education,train,265
相对来说其实你可以更专心在你的科研生当然它会造成你的科研压力会,education,train,274
更大,education,train,275
嗯,education,train,276
嗯我想这也就而且他们普遍要求又高一点,education,train,278
他不会说就是,education,train,279
相对来说跟国内比要求会高一点,education,train,281
所以说很多时候像,education,train,282
嗯然后一方面就是,education,train,288
就是可能你没有办法在香港前几个学校去申这样子,education,train,290
可能后面稍微弱一点的学校还可以,education,train,291
嗯,education,train,292
然后但是聊完之后感觉我可能,education,train,294
不是这样的人对,education,train,295
就感觉好像时间有点太久了,education,train,300
就每天呢就,education,train,302
嗯哼,education,train,306
决定要去做这件事情要自己督促着自己做嗯因为实际上每天,education,train,310
嗯基本上像我们实验室就是,education,train,311
嗯,education,train,312
上午不太有很多人,education,train,313
然后稍微分配一下任务啊这个,education,train,316
对然后每天基本上就是,education,train,317
嗯就是做自己的事情,education,train,318
像我,education,train,319
已经持续半个月就在,education,train,320
找自己要做的事情,education,train,321
