lease,承租,1.013388140175962,98,0.48650607,electric,电,1.0889325940801915,393,0.4071265
house,屋,1.0476608253808217,58,0.4512097,moon,月亮,0.9799971955341767,27,0.5198148
bathroom,浴室,0.9364715751343744,84,0.56151164,girl,女孩,0.9210042644535756,26,0.5758674
deck,甲板,1.0609746459749576,346,0.4371464,girl,女孩,0.9210042644535756,26,0.5758674
full,完整,1.1433507947788695,23,0.3463583,bedroom,浴室,1.0170500452032452,175,0.4828349
view,看,1.0971110944420606,86,0.3981711,gas,液化,1.0305831317466985,279,0.4689372
couple,夫妻,1.0686575438648134,115,0.4289937,money,拒付,1.0191892025790672,253,0.48061296
doorman,老伯,1.1292120065495872,1780,0.3624209,furniture,家具,0.947899380535944,106,0.5507538
neighborhood,街上,1.103501852933465,400,0.3911239,neighbor,隔壁,1.0717948593698703,68,0.42560512
budget,超支,1.0434859695057666,105,0.45558244,environment,环境,1.007779501754342,36,0.49220115
email,私信,1.0236379313532733,398,0.47607878,mrs,太太,1.0934615000352736,1488,0.40218106
indoor,室外,1.0683275401063475,78,0.42928955,cleanliness,健康,1.1223849531673964,1186,0.37015015
utility,需求,1.127045270997237,159,0.36489865,cost,成本,0.9543514483482944,50,0.5445915
offer,提供,1.0600364244561136,101,0.43814114,study,研究,0.9952078189818752,59,0.50475925
party,党,1.0485604156363346,213,0.4502616,insurance,健保,1.1141698815356547,909,0.37929878
bus,巴士,1.03354582732494,145,0.4658803,city,市,0.9891941851646111,8,0.5107156
block,禁,1.0650753988218695,171,0.43284914,thing,真的,1.0139101487569249,947,0.48599923
bedroom,浴室,1.0170500452032452,175,0.4828349,room,浴室,0.9579089603011273,85,0.54122406
manager,接手,1.1228145027862513,338,0.36961055,sky,天空,0.9123881495316638,2,0.58378136
basement,地下室,1.0489156449412278,208,0.4498636,storage,存放,1.0395916828585097,167,0.45959195
room,浴室,0.9579089603011273,85,0.54122406,rent,房租,0.9394750724275196,21,0.5587056
apartment,公寓,0.9510278201873663,41,0.547798,chair,主席,1.0822977342480502,89,0.4143683
playground,休憩,1.0691939642342951,233,0.42837727,festival,影展,1.1007601336274655,330,0.394152
check,找,1.0427802833515603,245,0.45629126,girl,女孩,0.9210042644535756,26,0.5758674
ps,版,1.1233579115130192,160,0.36905968,condition,患,1.037012031083461,138,0.46229184
closet,澡堂,1.045593252111564,198,0.45337996,bathroom,浴室,0.9364715751343744,84,0.56151164
apt,拙,1.1950286574637263,3497,0.28595954,house,屋,1.0476608253808217,58,0.4512097
gas,液化,1.0305831317466985,279,0.4689372,hair,眉毛,0.9989056198665774,188,0.5011052
lobby,露台,1.1220351089101899,502,0.37050554,ceramics,陶瓷,0.9239220985604334,65,0.57316846
garage,屋,1.1335129725636441,1796,0.3575651,matching,匹配,1.1115069546875052,296,0.3822708
houses,幢,1.052391656149209,271,0.44622216,trade,贸易,1.0666060376866986,90,0.43113697
bedrooms,居室,1.010730056641811,320,0.48919132,bedroom,浴室,1.0170500452032452,175,0.4828349
bath,浴,1.0255173658522052,21,0.4741526,balcony,露台,1.0341387612802766,396,0.4652533
rooms,居室,1.0133231404205603,308,0.48655334,transportation,交通,1.0561963038532676,118,0.44221815
sewage,污水,0.9498702786968253,91,0.5488643,kitchen,浴室,1.0024945375550685,193,0.49747932
bonus,追加,1.1250843946650293,321,0.3671295,water,水,0.9288247259863697,40,0.5685887
gym,健身,1.0195877196380192,48,0.48020574,garage,屋,1.1335129725636441,1796,0.3575651
apartments,公寓,1.0346236337735575,242,0.46477464,walk,散步,0.9960026128647964,12,0.50398135
management,管理,1.051845719738854,155,0.4468349,location,所在,1.045022591125595,30,0.4539869
nice,漂亮,1.0587268104753786,310,0.43949762,table,排好,1.0553742054543285,23,0.44309822
money,拒付,1.0191892025790672,253,0.48061296,photo,照片,0.8798544377779703,12,0.61293393
furniture,家具,0.947899380535944,106,0.5507538,link,球球pk,1.1710967186090293,1386,0.31428048
topic,琉竜,1.0517824357995371,783,0.4469018,community,社,1.1152368526937442,127,0.37810877
